yourlist:M202109254ABAA9BC7178C81CEBC9459510EDDEA3208C12P,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
hsa:5105,P35558,PCKGC_HUMAN,reviewed,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] (PEPCK-C) (EC 4.1.1.32) (Serine-protein kinase PCK1) (EC 2.7.11.-)",PCK1 PEPCK1,Homo sapiens (Human),622
hsa:51056,P28838,AMPL_HUMAN,reviewed,Cytosol aminopeptidase (EC 3.4.11.1) (Cysteinylglycine-S-conjugate dipeptidase) (EC 3.4.13.23) (Leucine aminopeptidase 3) (LAP-3) (Leucyl aminopeptidase) (Peptidase S) (Proline aminopeptidase) (EC 3.4.11.5) (Prolyl aminopeptidase),LAP3 LAPEP PEPS,Homo sapiens (Human),519
hsa:5106,Q16822,PCKGM_HUMAN,reviewed,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial (PEPCK-M) (EC 4.1.1.32)",PCK2 PEPCK2,Homo sapiens (Human),640
hsa:5106,A0A384MTT2,A0A384MTT2_HUMAN,unreviewed,Phosphoenolpyruvate carboxykinase (GTP) (EC 4.1.1.32),PCK2 hCG_40169,Homo sapiens (Human),640
hsa:51060,O95881,TXD12_HUMAN,reviewed,Thioredoxin domain-containing protein 12 (EC 1.8.4.2) (Endoplasmic reticulum resident protein 18) (ER protein 18) (ERp18) (Endoplasmic reticulum resident protein 19) (ER protein 19) (ERp19) (Thioredoxin-like protein p19) (hTLP19),TXNDC12 TLP19 UNQ713/PRO1376,Homo sapiens (Human),172
hsa:51071,Q9Y315,DEOC_HUMAN,reviewed,Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase),DERA CGI-26,Homo sapiens (Human),318
hsa:51074,Q96GX9,MTNB_HUMAN,reviewed,Methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109) (APAF1-interacting protein) (hAPIP),APIP CGI-29,Homo sapiens (Human),242
hsa:51079,Q9P0J0,NDUAD_HUMAN,reviewed,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Cell death regulatory protein GRIM-19) (Complex I-B16.6) (CI-B16.6) (Gene associated with retinoic and interferon-induced mortality 19 protein) (GRIM-19) (Gene associated with retinoic and IFN-induced mortality 19 protein) (NADH-ubiquinone oxidoreductase B16.6 subunit),NDUFA13 GRIM19 CDA016 CGI-39,Homo sapiens (Human),144
hsa:51084,Q9Y2S2,CRYL1_HUMAN,reviewed,Lambda-crystallin homolog (EC 1.1.1.45) (L-gulonate 3-dehydrogenase) (Gul3DH),CRYL1 CRY,Homo sapiens (Human),319
hsa:51084,V9HWG2,V9HWG2_HUMAN,unreviewed,Epididymis luminal protein 30 (Testicular tissue protein Li 44),HEL30,Homo sapiens (Human),319
hsa:51091,Q9HD40,SPCS_HUMAN,reviewed,O-phosphoseryl-tRNA(Sec) selenium transferase (EC 2.9.1.2) (Liver-pancreas antigen) (LP) (SLA-p35) (SLA/LP autoantigen) (Selenocysteine synthase) (Sec synthase) (Selenocysteinyl-tRNA(Sec) synthase) (Sep-tRNA:Sec-tRNA synthase) (SepSecS) (Soluble liver antigen) (SLA) (UGA suppressor tRNA-associated protein) (tRNA(Ser/Sec)-associated antigenic protein),SEPSECS TRNP48,Homo sapiens (Human),501
hsa:51102,Q9BV79,MECR_HUMAN,reviewed,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial (EC 1.3.1.104) (2-enoyl thioester reductase) (Nuclear receptor-binding factor 1) (HsNrbf-1) (NRBF-1)",MECR NBRF1 CGI-63,Homo sapiens (Human),373
hsa:51111,Q4FZB7,KMT5B_HUMAN,reviewed,Histone-lysine N-methyltransferase KMT5B (Lysine N-methyltransferase 5B) (Lysine-specific methyltransferase 5B) (Suppressor of variegation 4-20 homolog 1) (Su(var)4-20 homolog 1) (Suv4-20h1) ([histone H4]-N-methyl-L-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.362) ([histone H4]-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.361),KMT5B SUV420H1 CGI-85,Homo sapiens (Human),885
hsa:51144,Q53GQ0,DHB12_HUMAN,reviewed,Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (17-beta-hydroxysteroid dehydrogenase 12) (17-beta-HSD 12) (3-ketoacyl-CoA reductase) (KAR) (Estradiol 17-beta-dehydrogenase 12) (EC 1.1.1.62) (Short chain dehydrogenase/reductase family 12C member 1),HSD17B12 SDR12C1,Homo sapiens (Human),312
hsa:51166,Q8N5Z0,AADAT_HUMAN,reviewed,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (KAT/AadAT) (2-aminoadipate aminotransferase) (2-aminoadipate transaminase) (EC 2.6.1.39) (Alpha-aminoadipate aminotransferase) (AadAT) (Kynurenine aminotransferase II) (Kynurenine--oxoglutarate aminotransferase II) (Kynurenine--oxoglutarate transaminase 2) (EC 2.6.1.7) (Kynurenine--oxoglutarate transaminase II)",AADAT KAT2 KYAT2,Homo sapiens (Human),425
hsa:51166,Q4W5N8,Q4W5N8_HUMAN,unreviewed,"Aminoadipate aminotransferase, isoform CRA_b (Uncharacterized protein AADAT) (cDNA, FLJ95590, Homo sapiens L-kynurenine/alpha-aminoadipate aminotransferase (KATII), mRNA)",AADAT hCG_17308,Homo sapiens (Human),425
hsa:51179,Q9NYQ3,HAOX2_HUMAN,reviewed,"Hydroxyacid oxidase 2 (HAOX2) (EC 1.1.3.15) ((S)-2-hydroxy-acid oxidase, peroxisomal) (Cell growth-inhibiting gene 16 protein) (Long chain alpha-hydroxy acid oxidase) (Long-chain L-2-hydroxy acid oxidase)",HAO2 HAOX2 GIG16,Homo sapiens (Human),351
hsa:51181,Q7Z4W1,DCXR_HUMAN,reviewed,L-xylulose reductase (XR) (EC 1.1.1.10) (Carbonyl reductase II) (Dicarbonyl/L-xylulose reductase) (Kidney dicarbonyl reductase) (kiDCR) (Short chain dehydrogenase/reductase family 20C member 1) (Sperm surface protein P34H),DCXR SDR20C1,Homo sapiens (Human),244
hsa:51181,A0A384NY14,A0A384NY14_HUMAN,unreviewed,"Dicarbonyl/L-xylulose reductase, isoform CRA_b (Epididymis secretory sperm binding protein)",DCXR hCG_40598,Homo sapiens (Human),244
hsa:51196,Q9P212,PLCE1_HUMAN,reviewed,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1 (EC 3.1.4.11) (Pancreas-enriched phospholipase C) (Phosphoinositide phospholipase C-epsilon-1) (Phospholipase C-epsilon-1) (PLC-epsilon-1)",PLCE1 KIAA1516 PLCE PPLC,Homo sapiens (Human),2302
hsa:51227,P57054,PIGP_HUMAN,reviewed,Phosphatidylinositol N-acetylglucosaminyltransferase subunit P (Down syndrome critical region protein 5) (Down syndrome critical region protein C) (Phosphatidylinositol-glycan biosynthesis class P protein) (PIG-P),PIGP DCRC DSCR5 DSCRC NPD010,Homo sapiens (Human),158
hsa:51251,Q9H0P0,5NT3A_HUMAN,reviewed,Cytosolic 5'-nucleotidase 3A (EC 3.1.3.5) (7-methylguanosine phosphate-specific 5'-nucleotidase) (7-methylguanosine nucleotidase) (EC 3.1.3.91) (Cytosolic 5'-nucleotidase 3) (Cytosolic 5'-nucleotidase III) (cN-III) (Pyrimidine 5'-nucleotidase 1) (P5'N-1) (P5N-1) (PN-I) (Uridine 5'-monophosphate hydrolase 1) (p36),NT5C3A NT5C3 P5N1 UMPH1 HSPC233,Homo sapiens (Human),336
hsa:51268,Q9P0Z9,SOX_HUMAN,reviewed,Peroxisomal sarcosine oxidase (PSO) (EC 1.5.3.1) (EC 1.5.3.7) (L-pipecolate oxidase) (L-pipecolic acid oxidase),PIPOX LPIPOX PSO,Homo sapiens (Human),390
hsa:51292,Q9P2T1,GMPR2_HUMAN,reviewed,GMP reductase 2 (GMPR 2) (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase 2) (Guanosine monophosphate reductase 2),GMPR2,Homo sapiens (Human),348
hsa:513,P30049,ATPD_HUMAN,reviewed,"ATP synthase subunit delta, mitochondrial (ATP synthase F1 subunit delta) (F-ATPase delta subunit)",ATP5F1D ATP5D,Homo sapiens (Human),168
hsa:5130,P49585,PCY1A_HUMAN,reviewed,Choline-phosphate cytidylyltransferase A (EC 2.7.7.15) (CCT-alpha) (CTP:phosphocholine cytidylyltransferase A) (CCT A) (CT A) (Phosphorylcholine transferase A),PCYT1A CTPCT PCYT1,Homo sapiens (Human),367
hsa:5130,B4E322,B4E322_HUMAN,unreviewed,"cDNA FLJ53135, highly similar to Choline-phosphate cytidylyltransferase A",,Homo sapiens (Human),328
hsa:5136,P54750,PDE1A_HUMAN,reviewed,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A (Cam-PDE 1A) (EC 3.1.4.17) (61 kDa Cam-PDE) (hCam-1)",PDE1A,Homo sapiens (Human),535
hsa:5137,Q14123,PDE1C_HUMAN,reviewed,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C (Cam-PDE 1C) (3',5'-cyclic-AMP phosphodiesterase) (EC 3.1.4.-) (3',5'-cyclic-GMP phosphodiesterase) (EC 3.1.4.35) (Hcam3)",PDE1C,Homo sapiens (Human),709
hsa:5138,O00408,PDE2A_HUMAN,reviewed,"cGMP-dependent 3',5'-cyclic phosphodiesterase (EC 3.1.4.17) (Cyclic GMP-stimulated phosphodiesterase) (CGS-PDE) (cGSPDE)",PDE2A,Homo sapiens (Human),941
hsa:5138,Q8IW54,Q8IW54_HUMAN,unreviewed,Phosphodiesterase (EC 3.1.4.-),PDE2A,Homo sapiens (Human),941
hsa:51380,Q9Y600,CSAD_HUMAN,reviewed,Cysteine sulfinic acid decarboxylase (EC 4.1.1.29) (Aspartate 1-decarboxylase) (EC 4.1.1.11) (Cysteine-sulfinate decarboxylase) (Sulfinoalanine decarboxylase),CSAD CSD,Homo sapiens (Human),493
hsa:51380,A0A024RAX7,A0A024RAX7_HUMAN,unreviewed,"Cysteine sulfinic acid decarboxylase, isoform CRA_a",CSAD hCG_43754,Homo sapiens (Human),493
hsa:51380,Q86V02,Q86V02_HUMAN,unreviewed,CSAD protein (Fragment),CSAD,Homo sapiens (Human),582
hsa:51382,Q9Y5K8,VATD_HUMAN,reviewed,V-type proton ATPase subunit D (V-ATPase subunit D) (V-ATPase 28 kDa accessory protein) (Vacuolar proton pump subunit D),ATP6V1D ATP6M VATD,Homo sapiens (Human),247
hsa:51382,A0A024R683,A0A024R683_HUMAN,unreviewed,V-type proton ATPase subunit D (V-type proton ATPase subunit d) (Vacuolar proton pump subunit D),ATP6V1D hCG_21908,Homo sapiens (Human),247
hsa:5139,Q14432,PDE3A_HUMAN,reviewed,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A (EC 3.1.4.17) (Cyclic GMP-inhibited phosphodiesterase A) (CGI-PDE A)",PDE3A,Homo sapiens (Human),1141
hsa:514,P56381,ATP5E_HUMAN,reviewed,"ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon) (ATP synthase F1 subunit epsilon)",ATP5F1E ATP5E,Homo sapiens (Human),51
hsa:5140,Q13370,PDE3B_HUMAN,reviewed,"cGMP-inhibited 3',5'-cyclic phosphodiesterase B (EC 3.1.4.17) (CGIPDE1) (CGIP1) (Cyclic GMP-inhibited phosphodiesterase B) (CGI-PDE B)",PDE3B,Homo sapiens (Human),1112
hsa:5140,A7E2E5,A7E2E5_HUMAN,unreviewed,Phosphodiesterase (EC 3.1.4.-),PDE3B,Homo sapiens (Human),1112
hsa:5141,P27815,PDE4A_HUMAN,reviewed,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A (EC 3.1.4.53) (DPDE2) (PDE46)",PDE4A DPDE2,Homo sapiens (Human),886
hsa:5142,Q07343,PDE4B_HUMAN,reviewed,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B (EC 3.1.4.53) (DPDE4) (PDE32)",PDE4B DPDE4,Homo sapiens (Human),736
hsa:5142,X5DNX5,X5DNX5_HUMAN,unreviewed,Phosphodiesterase (EC 3.1.4.-) (Fragment),PDE4B,Homo sapiens (Human),736
hsa:5143,Q08493,PDE4C_HUMAN,reviewed,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C (EC 3.1.4.53) (DPDE1) (PDE21)",PDE4C DPDE1,Homo sapiens (Human),712
hsa:5143,O43849,O43849_HUMAN,unreviewed,Phosphodiesterase (EC 3.1.4.-) (Fragment),PDE4C,Homo sapiens (Human),791
hsa:5143,Q32MM7,Q32MM7_HUMAN,unreviewed,Phosphodiesterase (EC 3.1.4.-),PDE4C,Homo sapiens (Human),481
hsa:5144,Q08499,PDE4D_HUMAN,reviewed,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D (EC 3.1.4.53) (DPDE3) (PDE43)",PDE4D DPDE3,Homo sapiens (Human),809
hsa:5144,A0A140VJR0,A0A140VJR0_HUMAN,unreviewed,Phosphodiesterase (EC 3.1.4.-),PDE4D hCG_1811507,Homo sapiens (Human),809
hsa:5145,P16499,PDE6A_HUMAN,reviewed,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha (GMP-PDE alpha) (EC 3.1.4.35) (PDE V-B1)",PDE6A PDEA,Homo sapiens (Human),860
hsa:5146,P51160,PDE6C_HUMAN,reviewed,"Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha' (EC 3.1.4.35) (cGMP phosphodiesterase 6C)",PDE6C PDEA2,Homo sapiens (Human),858
hsa:5147,O43924,PDE6D_HUMAN,reviewed,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta (GMP-PDE delta) (Protein p17)",PDE6D PDED,Homo sapiens (Human),150
hsa:5147,Q6IB24,Q6IB24_HUMAN,unreviewed,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta",PDE6D tmp_locus_12 hCG_32951,Homo sapiens (Human),150
hsa:51471,Q9UHF3,NAT8B_HUMAN,reviewed,Putative N-acetyltransferase 8B (EC 2.3.1.-) (Acetyltransferase 1) (ATase1) (Camello-like protein 2),NAT8B CML2,Homo sapiens (Human),227
hsa:51477,Q9NPH2,INO1_HUMAN,reviewed,Inositol-3-phosphate synthase 1 (IPS 1) (EC 5.5.1.4) (Myo-inositol 1-phosphate synthase) (MI-1-P synthase) (MIP synthase) (hIPS) (Myo-inositol 1-phosphate synthase A1) (hINO1),ISYNA1 INO1,Homo sapiens (Human),558
hsa:51477,A0A140VK73,A0A140VK73_HUMAN,unreviewed,Inositol-3-phosphate synthase 1 (EC 5.5.1.4),,Homo sapiens (Human),558
hsa:51478,P56937,DHB7_HUMAN,reviewed,3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7 (17-beta-hydroxysteroid dehydrogenase 7) (17-beta-HSD 7) (3-keto-steroid reductase) (EC 1.1.1.270) (Dihydrotestosterone oxidoreductase) (EC 1.1.1.210) (Estradiol 17-beta-dehydrogenase 7) (EC 1.1.1.62) (Short chain dehydrogenase/reductase family 37C member 1),HSD17B7 17HSD7 SDR37C1 UNQ2563/PRO6243,Homo sapiens (Human),341
hsa:51478,A0A024R913,A0A024R913_HUMAN,unreviewed,3-keto-steroid reductase (EC 1.1.1.270),hCG_2024989,Homo sapiens (Human),341
hsa:5148,P18545,CNRG_HUMAN,reviewed,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma (GMP-PDE gamma) (EC 3.1.4.35)",PDE6G PDEG,Homo sapiens (Human),87
hsa:5149,Q13956,CNCG_HUMAN,reviewed,"Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma (GMP-PDE gamma) (EC 3.1.4.35)",PDE6H,Homo sapiens (Human),83
hsa:51495,Q9P035,HACD3_HUMAN,reviewed,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 3) (HACD3) (Butyrate-induced protein 1) (B-ind1) (hB-ind1) (Protein-tyrosine phosphatase-like A domain-containing protein 1),HACD3 BIND1 PTPLAD1,Homo sapiens (Human),362
hsa:515,P24539,AT5F1_HUMAN,reviewed,"ATP synthase F(0) complex subunit B1, mitochondrial (ATP synthase peripheral stalk-membrane subunit b) (ATP synthase proton-transporting mitochondrial F(0) complex subunit B1) (ATP synthase subunit b) (ATPase subunit b)",ATP5PB ATP5F1,Homo sapiens (Human),256
hsa:515,Q08ET0,Q08ET0_HUMAN,unreviewed,ATP synthase subunit b,hCG_39985,Homo sapiens (Human),256
hsa:5150,Q13946,PDE7A_HUMAN,reviewed,"High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A (EC 3.1.4.53) (HCP1) (TM22)",PDE7A,Homo sapiens (Human),482
hsa:5151,O60658,PDE8A_HUMAN,reviewed,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A (EC 3.1.4.53)",PDE8A,Homo sapiens (Human),829
hsa:5152,O76083,PDE9A_HUMAN,reviewed,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A (EC 3.1.4.35)",PDE9A,Homo sapiens (Human),593
hsa:5152,A0A0S2Z4T6,A0A0S2Z4T6_HUMAN,unreviewed,Phosphodiesterase (EC 3.1.4.-) (Fragment),PDE9A,Homo sapiens (Human),593
hsa:5153,Q01064,PDE1B_HUMAN,reviewed,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B (Cam-PDE 1B) (EC 3.1.4.17) (63 kDa Cam-PDE)",PDE1B PDE1B1 PDES1B,Homo sapiens (Human),536
hsa:5153,A0A024RB59,A0A024RB59_HUMAN,unreviewed,Phosphodiesterase (EC 3.1.4.-),PDE1B hCG_21934,Homo sapiens (Human),536
hsa:51540,Q96I15,SCLY_HUMAN,reviewed,Selenocysteine lyase (hSCL) (EC 4.4.1.16),SCLY SCL,Homo sapiens (Human),445
hsa:51540,A0A0A0MQU4,A0A0A0MQU4_HUMAN,unreviewed,Selenocysteine lyase,SCLY,Homo sapiens (Human),453
hsa:51540,B4DDP9,B4DDP9_HUMAN,unreviewed,"Selenocysteine lyase, isoform CRA_a (cDNA FLJ55776, highly similar to Homo sapiens selenocysteine lyase (SCLY), mRNA)",SCLY hCG_2039445,Homo sapiens (Human),412
hsa:51540,Q59FK2,Q59FK2_HUMAN,unreviewed,Selenocysteine lyase variant (Fragment),,Homo sapiens (Human),235
hsa:51547,Q9NRC8,SIR7_HUMAN,reviewed,NAD-dependent protein deacetylase sirtuin-7 (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-7) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 7) (SIR2-like protein 7),SIRT7 SIR2L7,Homo sapiens (Human),400
hsa:51548,Q8N6T7,SIR6_HUMAN,reviewed,NAD-dependent protein deacetylase sirtuin-6 (EC 2.3.1.286) (Regulatory protein SIR2 homolog 6) (SIR2-like protein 6),SIRT6 SIR2L6,Homo sapiens (Human),355
hsa:5158,P35913,PDE6B_HUMAN,reviewed,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta (GMP-PDE beta) (EC 3.1.4.35)",PDE6B PDEB,Homo sapiens (Human),854
hsa:516,P05496,AT5G1_HUMAN,reviewed,"ATP synthase F(0) complex subunit C1, mitochondrial (ATP synthase lipid-binding protein) (ATP synthase membrane subunit c locus 1) (ATP synthase proteolipid P1) (ATP synthase proton-transporting mitochondrial F(0) complex subunit C1) (ATPase protein 9) (ATPase subunit c)",ATP5MC1 ATP5G1,Homo sapiens (Human),136
hsa:516,Q6FIH7,Q6FIH7_HUMAN,unreviewed,ATP synthase lipid-binding protein (ATPase protein 9) (ATPase subunit c),ATP5G1 hCG_27507,Homo sapiens (Human),136
hsa:5160,P08559,ODPA_HUMAN,reviewed,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial (EC 1.2.4.1) (PDHE1-A type I)",PDHA1 PHE1A,Homo sapiens (Human),390
hsa:5160,A0A024RBX9,A0A024RBX9_HUMAN,unreviewed,Pyruvate dehydrogenase E1 component subunit alpha (EC 1.2.4.1),PDHA1 hCG_17571,Homo sapiens (Human),390
hsa:51604,Q969N2,PIGT_HUMAN,reviewed,GPI transamidase component PIG-T (Phosphatidylinositol-glycan biosynthesis class T protein),PIGT CGI-06 PSEC0163 UNQ716/PRO1379,Homo sapiens (Human),578
hsa:51606,Q9UI12,VATH_HUMAN,reviewed,V-type proton ATPase subunit H (V-ATPase subunit H) (Nef-binding protein 1) (NBP1) (Protein VMA13 homolog) (V-ATPase 50/57 kDa subunits) (Vacuolar proton pump subunit H) (Vacuolar proton pump subunit SFD),ATP6V1H CGI-11,Homo sapiens (Human),483
hsa:51606,A0A024R7U9,A0A024R7U9_HUMAN,unreviewed,V-type proton ATPase subunit H,ATP6V1H hCG_27354,Homo sapiens (Human),483
hsa:5161,P29803,ODPAT_HUMAN,reviewed,"Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial (EC 1.2.4.1) (PDHE1-A type II)",PDHA2 PDHAL,Homo sapiens (Human),388
hsa:5162,P11177,ODPB_HUMAN,reviewed,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B) (EC 1.2.4.1)",PDHB PHE1B,Homo sapiens (Human),359
hsa:5162,A0A384MDR8,A0A384MDR8_HUMAN,unreviewed,Pyruvate dehydrogenase E1 component subunit beta (EC 1.2.4.1),,Homo sapiens (Human),359
hsa:5167,P22413,ENPP1_HUMAN,reviewed,"Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 (E-NPP 1) (Membrane component chromosome 6 surface marker 1) (Phosphodiesterase I/nucleotide pyrophosphatase 1) (Plasma-cell membrane glycoprotein PC-1) [Cleaved into: Ectonucleotide pyrophosphatase/phosphodiesterase family member 1, secreted form] [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)]",ENPP1 M6S1 NPPS PC1 PDNP1,Homo sapiens (Human),925
hsa:5169,O14638,ENPP3_HUMAN,reviewed,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (E-NPP 3) (NPP3) (Phosphodiesterase I beta) (PD-Ibeta) (Phosphodiesterase I/nucleotide pyrophosphatase 3) (CD antigen CD203c) [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)],ENPP3 PDNP3,Homo sapiens (Human),875
hsa:517,Q06055,AT5G2_HUMAN,reviewed,"ATP synthase F(0) complex subunit C2, mitochondrial (ATP synthase lipid-binding protein) (ATP synthase membrane subunit c locus 2) (ATP synthase proteolipid P2) (ATP synthase proton-transporting mitochondrial F(0) complex subunit C2) (ATPase protein 9) (ATPase subunit c)",ATP5MC2 ATP5G2 PSEC0033,Homo sapiens (Human),141
hsa:51703,Q9ULC5,ACSL5_HUMAN,reviewed,Long-chain-fatty-acid--CoA ligase 5 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 5) (LACS 5),ACSL5 ACS5 FACL5 UNQ633/PRO1250,Homo sapiens (Human),683
hsa:51733,Q9UBR1,BUP1_HUMAN,reviewed,Beta-ureidopropionase (EC 3.5.1.6) (BUP-1) (Beta-alanine synthase) (N-carbamoyl-beta-alanine amidohydrolase),UPB1 BUP1,Homo sapiens (Human),384
hsa:51733,A0A024R1H3,A0A024R1H3_HUMAN,unreviewed,"Ureidopropionase, beta, isoform CRA_b",UPB1 hCG_41197,Homo sapiens (Human),384
hsa:51733,B3KNC1,B3KNC1_HUMAN,unreviewed,"cDNA FLJ14215 fis, clone NT2RP3003665, highly similar to Beta-ureidopropionase",,Homo sapiens (Human),316
hsa:51763,Q9BT40,INP5K_HUMAN,reviewed,"Inositol polyphosphate 5-phosphatase K (EC 3.1.3.56) (Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase) (EC 3.1.3.86) (Phosphatidylinositol-4,5-bisphosphate 5-phosphatase) (EC 3.1.3.36) (Skeletal muscle and kidney-enriched inositol phosphatase)",INPP5K PPS SKIP,Homo sapiens (Human),448
hsa:518,P48201,AT5G3_HUMAN,reviewed,"ATP synthase F(0) complex subunit C3, mitochondrial (ATP synthase lipid-binding protein) (ATP synthase membrane subunit c locus 3) (ATP synthase proteolipid P3) (ATP synthase proton-transporting mitochondrial F(0) complex subunit C3) (ATPase protein 9) (ATPase subunit c)",ATP5MC3 ATP5G3,Homo sapiens (Human),142
hsa:51809,Q86SF2,GALT7_HUMAN,reviewed,N-acetylgalactosaminyltransferase 7 (EC 2.4.1.41) (Polypeptide GalNAc transferase 7) (GalNAc-T7) (pp-GaNTase 7) (Protein-UDP acetylgalactosaminyltransferase 7) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 7),GALNT7,Homo sapiens (Human),657
hsa:51816,Q9NZK5,ADA2_HUMAN,reviewed,Adenosine deaminase 2 (EC 3.5.4.4) (Cat eye syndrome critical region protein 1),ADA2 ADGF CECR1 IDGFL,Homo sapiens (Human),511
hsa:5188,O75879,GATB_HUMAN,reviewed,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial (Glu-AdT subunit B) (EC 6.3.5.-) (Cytochrome c oxidase assembly factor PET112 homolog)",GATB PET112 PET112L HSPC199,Homo sapiens (Human),557
hsa:5198,O15067,PUR4_HUMAN,reviewed,Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase),PFAS KIAA0361,Homo sapiens (Human),1338
hsa:5198,A8K9T9,A8K9T9_HUMAN,unreviewed,Formylglycinamide ribonucleotide amidotransferase (EC 6.3.5.3) (Formylglycinamide ribotide amidotransferase),,Homo sapiens (Human),1338
hsa:5198,Q6P4B4,Q6P4B4_HUMAN,unreviewed,Formylglycinamide ribonucleotide amidotransferase (EC 6.3.5.3) (Formylglycinamide ribotide amidotransferase) (Fragment),PFAS,Homo sapiens (Human),748
hsa:52,P24666,PPAC_HUMAN,reviewed,Low molecular weight phosphotyrosine protein phosphatase (LMW-PTP) (LMW-PTPase) (EC 3.1.3.48) (Adipocyte acid phosphatase) (Low molecular weight cytosolic acid phosphatase) (EC 3.1.3.2) (Red cell acid phosphatase 1),ACP1,Homo sapiens (Human),158
hsa:52,Q59EH3,Q59EH3_HUMAN,unreviewed,Low molecular weight cytosolic acid phosphatase (EC 3.1.3.2) (EC 3.1.3.48) (Low molecular weight phosphotyrosine protein phosphatase) (Fragment),,Homo sapiens (Human),165
hsa:5207,P16118,F261_HUMAN,reviewed,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1 (6PF-2-K/Fru-2,6-P2ase 1) (PFK/FBPase 1) (6PF-2-K/Fru-2,6-P2ase liver isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]",PFKFB1 F6PK PFRX,Homo sapiens (Human),471
hsa:5208,O60825,F262_HUMAN,reviewed,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 (6PF-2-K/Fru-2,6-P2ase 2) (PFK/FBPase 2) (6PF-2-K/Fru-2,6-P2ase heart-type isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]",PFKFB2,Homo sapiens (Human),505
